ID,z,lgMstar,SFR_case,SFR_source,SFR,e_SFR,SFR_censored,SFR_limit,MHI,e_MHI,MHI_censored,MHI_limit
107019,0.015537,9.163729,9,xGASS,.,.,False,.,246127260.21749064,44750410.94863466,False,0.0
13775,0.026402,10.573,9,xGASS,.,.,False,.,12944883835.14862,414491354.3274189,False,0.0
36125,0.047596,10.914000000000001,9,xGASS,.,.,False,.,26177031864.111378,1227048368.6302207,False,0.0
17029,0.045668,11.085999999999999,1,xGASS,1.9209126,0.36203015,False,.,21026512558.8348,1225760821.8154817,False,0.0
51334,0.029414,10.105,1,xGASS,0.80511683,0.21927728,False,.,3879654921.8598447,435471470.821003,False,0.0
107005,0.015366999999999999,9.793026,1,xGASS,0.8893723,0.13567422,False,.,2277139494.6545987,142321218.41591242,False,0.0
51276,0.029704,10.374,1,xGASS,2.4908997999999998,0.24836583,False,.,8155048999.785377,363343767.31717026,False,0.0
107026,0.016672,9.369679,1,xGASS,0.38350707,0.108757354,False,.,4601409781.071229,141384099.41838974,False,0.0
51351,0.02928,11.007,9,xGASS,.,.,False,.,5138980705.820333,470746324.1972823,False,0.0
51416,0.04446,11.272,2,xGASS,0.1279522,0.24837644,True,0.24837644,0.0,574156116.4049385,True,2870780582.024692
51462,0.03569,11.097000000000001,9,xGASS,.,.,False,.,0.0,385504982.6381873,True,1927524913.1909366
51390,0.045718,11.169,9,xGASS,.,.,False,.,29197543388.506023,1228375611.8141694,False,0.0
51336,0.047309,11.001,1,xGASS,0.61347854,0.23079057,False,.,2525457966.4669323,707128230.6107411,False,0.0
56375,0.046429000000000005,10.842,9,xGASS,.,.,False,.,12560947731.373554,584230127.0406305,False,0.0
19132,0.034980000000000004,10.345999999999998,9,xGASS,.,.,False,.,0.0,118858431.7231143,True,594292158.6155715
108143,0.015754,9.130606,2,xGASS,0.121990696,0.08740281,False,.,298931825.9925083,45989511.69115512,False,0.0
108136,0.013696000000000002,9.475817999999999,1,xGASS,0.10982838,0.08960204599999999,False,.,244300450.39181888,34900064.34168841,False,0.0
108111,0.015518177,9.953118,6,xGASS,.,.,False,.,0.0,34516757.839804076,True,172583789.1990204
108080,0.015313479,9.313442,2,xGASS,0.022479644,0.04352762599999999,True,0.04352762599999999,0.0,23336192.341219258,True,116680961.70609629
108065,0.016127416999999998,10.099566000000001,1,xGASS,0.27128094,0.12097113,False,.,0.0,56367658.625288986,True,281838293.12644494
108145,0.013736000000000002,9.159139999999999,6,xGASS,.,.,False,.,87753618.28448904,26326085.485346705,False,0.0
108022,0.016006261,10.045741,6,xGASS,.,.,False,.,0.0,54079167.28217693,True,270395836.4108846
108052,0.01449115,9.600313,9,xGASS,.,.,False,.,0.0,18794466.21129275,True,93972331.05646375
108078,0.015277,9.011273,2,xGASS,0.022209378,0.043879334000000006,True,0.043879334000000006,194793191.84513026,43287375.96558451,False,0.0
108013,0.01593705,10.089182000000001,2,xGASS,0.020152388,0.034320313,True,0.034320313,0.0,49662662.10591136,True,248313310.52955678
108150,0.015898,9.001083,1,xGASS,0.14248407,0.07053797,False,.,959826716.5157516,70231223.15968914,False,0.0
56319,0.03453,10.137,2,xGASS,0.47250929999999997,0.21792166,False,.,0.0,88110972.70131068,True,440554863.5065534
108116,0.014534288999999999,9.369645,1,xGASS,0.163894,0.11239913,False,.,0.0,21282860.364486374,True,106414301.82243186
56320,0.03369,10.215,9,xGASS,.,.,False,.,0.0,92689383.94725768,True,463446919.7362884
108132,0.015371000000000001,9.270569,9,xGASS,.,.,False,.,1051526385.3216733,153347597.8594107,False,0.0
108084,0.016561000000000003,9.755807,9,xGASS,.,.,False,.,8410347912.007067,126852909.68336451,False,0.0
51580,0.038926999999999996,10.241,2,xGASS,0.09793998,0.11679372,True,0.11679372,1448630175.7677307,344911946.6113645,False,0.0
108119,0.015734,9.088653,1,xGASS,0.29256806,0.09996909,False,.,6043981608.495691,103217902.23237424,False,0.0
51563,0.029604000000000002,10.477,1,xGASS,0.77666676,0.21697894,False,.,4411070306.138701,240603834.88029277,False,0.0
56312,0.034154000000000004,10.101,1,xGASS,1.1610671000000001,0.22341843,False,.,13854953293.270515,959189074.1494972,False,0.0
14247,0.03304,11.137,2,xGASS,0.6901232,0.22826803,False,.,4640475704.3814945,648668646.8490261,False,0.0
56304,0.034007,10.89,1,xGASS,1.492197,0.18058164,False,.,8823427803.984943,634018764.3581995,False,0.0
108011,0.015441,9.042074000000001,1,xGASS,0.21582283,0.1052114,False,.,375763489.92320365,33155602.052047376,False,0.0
108090,0.01494,9.823525,1,xGASS,0.30205375,0.115818165,False,.,3283023009.6364675,93208855.16318046,False,0.0
108112,0.016141,9.986474000000001,1,xGASS,0.6559991999999999,0.14454406,False,.,3340618650.318243,108539956.14752413,False,0.0
108014,0.013923,10.088875999999999,9,xGASS,.,.,False,.,5110141934.190135,90125960.03862673,False,0.0
108125,0.013886,9.427691000000001,9,xGASS,.,.,False,.,10112985305.787773,89654125.05131006,False,0.0
108019,0.015624,9.36662,9,xGASS,.,.,False,.,135735673.98437288,33933918.49609322,False,0.0
108049,0.014519999999999998,9.414597,1,xGASS,0.24954325,0.08819714,False,.,548269694.3527805,68533711.79409756,False,0.0
108029,0.013713,9.615052,9,xGASS,.,.,False,.,11020458726.052477,52478374.88596418,False,0.0
108129,0.017485,9.471077000000001,9,xGASS,.,.,False,.,3302823051.07383,155260912.6573168,False,0.0
108147,0.019787,9.636974,1,xGASS,0.6163411,0.13496244,False,.,2087339834.5384655,125960162.42904535,False,0.0
19274,0.04527,11.32,2,xGASS,1.787475,0.30422038,False,.,0.0,590241845.333278,True,2951209226.66639
